Data Till,Scheme,Component,TrainingType,TCState,TCDistrict,Enrolled,Trained,Assessed,Certified,Reported Placed
21-04-2022,PMKVY 2.0,CSCM,RPL,Andaman And Nicobar Islands,Nicobars,46,46,46,46,0
21-04-2022,PMKVY 2.0,CSCM,RPL,Andaman And Nicobar Islands,South Andamans,10,10,6,6,0
21-04-2022,PMKVY 2.0,CSCM,STT,Andaman And Nicobar Islands,Nicobars,120,120,120,108,0
21-04-2022,PMKVY 2.0,CSSM,STT,Andaman And Nicobar Islands,Nicobars,156,156,78,57,0
21-04-2022,PMKVY 2.0,CSCM,STT,Andaman And Nicobar Islands,North And Middle Andaman,1041,870,861,839,124
21-04-2022,PMKVY 2.0,CSSM,STT,Andaman And Nicobar Islands,North And Middle Andaman,171,171,84,73,0
21-04-2022,PMKVY 2.0,CSCM,STT,Andaman And Nicobar Islands,South Andamans,581,510,488,453,0
21-04-2022,PMKVY 2.0,CSSM,STT,Andaman And Nicobar Islands,South Andamans,932,914,617,440,0
21-04-2022,PMKVY 3.0,CSCM,RPL,Andaman And Nicobar Islands,South Andamans,4,4,4,4,0
21-04-2022,PMKVY 3.0,CSSM,RPL,Andaman And Nicobar Islands,South Andamans,601,600,29,24,0
21-04-2022,PMKVY 3.0,CSCM,STT,Andaman And Nicobar Islands,Nicobars,25,0,0,0,0
21-04-2022,PMKVY 3.0,CSSM,STT,Andaman And Nicobar Islands,North And Middle Andaman,17,17,17,12,0
21-04-2022,PMKVY 3.0,CSSM,STT,Andaman And Nicobar Islands,South Andamans,130,130,65,58,0
21-04-2022,PMKVY 3.0,CSCM,STT,Andaman And Nicobar Islands,South Andamans,147,0,0,0,0
21-04-2022,PMKVY 2.0,CSCM,RPL,Andhra Pradesh,Anantapur,19482,19342,16938,16597,0
21-04-2022,PMKVY 2.0,CSCM,RPL,Andhra Pradesh,Chittoor,16484,16341,14573,14093,0
21-04-2022,PMKVY 2.0,CSCM,RPL,Andhra Pradesh,East Godavari,10445,10332,9577,9305,0
21-04-2022,PMKVY 2.0,CSCM,RPL,Andhra Pradesh,Guntur,11898,11786,9722,9290,0
21-04-2022,PMKVY 2.0,CSCM,RPL,Andhra Pradesh,Krishna,13463,13206,12570,12301,0
21-04-2022,PMKVY 2.0,CSCM,RPL,Andhra Pradesh,Kurnool,12214,12008,10733,10503,0
21-04-2022,PMKVY 2.0,CSCM,RPL,Andhra Pradesh,Prakasam,5200,5030,4021,3663,0
21-04-2022,PMKVY 2.0,CSCM,RPL,Andhra Pradesh,Spsr Nellore,3929,3860,3188,2657,0
21-04-2022,PMKVY 2.0,CSCM,RPL,Andhra Pradesh,Srikakulam,3081,2924,2586,2466,0
21-04-2022,PMKVY 2.0,CSCM,RPL,Andhra Pradesh,Visakhapatanam,17095,16946,14749,14460,0
21-04-2022,PMKVY 2.0,CSCM,RPL,Andhra Pradesh,Vizianagaram,4517,4489,4296,4259,0
21-04-2022,PMKVY 2.0,CSCM,RPL,Andhra Pradesh,West Godavari,11782,11697,11351,11203,0
21-04-2022,PMKVY 2.0,CSCM,RPL,Andhra Pradesh,Y.S.R,6377,6376,4413,4359,0
21-04-2022,PMKVY 2.0,CSCM,SP,Andhra Pradesh,Anantapur,149,149,146,143,104
21-04-2022,PMKVY 2.0,CSCM,SP,Andhra Pradesh,Chittoor,11,0,0,0,0
21-04-2022,PMKVY 2.0,CSCM,SP,Andhra Pradesh,East Godavari,1261,1242,1153,1055,620
21-04-2022,PMKVY 2.0,CSCM,SP,Andhra Pradesh,Guntur,455,403,351,340,126
21-04-2022,PMKVY 2.0,CSCM,SP,Andhra Pradesh,Krishna,641,624,524,477,321
21-04-2022,PMKVY 2.0,CSCM,SP,Andhra Pradesh,Kurnool,21,21,21,21,17
21-04-2022,PMKVY 2.0,CSCM,SP,Andhra Pradesh,Prakasam,81,61,50,47,38
21-04-2022,PMKVY 2.0,CSCM,SP,Andhra Pradesh,Srikakulam,687,642,630,560,519
21-04-2022,PMKVY 2.0,CSCM,SP,Andhra Pradesh,Visakhapatanam,551,550,488,425,82
21-04-2022,PMKVY 2.0,CSCM,SP,Andhra Pradesh,Vizianagaram,486,481,399,373,211
21-04-2022,PMKVY 2.0,CSCM,SP,Andhra Pradesh,West Godavari,2554,2379,2252,1953,1972
21-04-2022,PMKVY 2.0,CSCM,SP,Andhra Pradesh,Y.S.R,77,77,47,44,44
21-04-2022,PMKVY 2.0,CSSM,STT,Andhra Pradesh,Anantapur,6865,5313,4896,4513,2486
21-04-2022,PMKVY 2.0,CSCM,STT,Andhra Pradesh,Anantapur,16681,15296,14814,13305,8880
21-04-2022,PMKVY 2.0,CSSM,STT,Andhra Pradesh,Chittoor,799,760,650,561,282
21-04-2022,PMKVY 2.0,CSCM,STT,Andhra Pradesh,Chittoor,8053,6788,6446,5679,3297
21-04-2022,PMKVY 2.0,CSCM,STT,Andhra Pradesh,East Godavari,13541,11990,11765,10949,8134
21-04-2022,PMKVY 2.0,CSSM,STT,Andhra Pradesh,East Godavari,6425,4695,4467,3646,2402
21-04-2022,PMKVY 2.0,CSCM,STT,Andhra Pradesh,Guntur,12625,12241,11661,10348,5452
21-04-2022,PMKVY 2.0,CSSM,STT,Andhra Pradesh,Guntur,6437,5976,5612,4918,2947
21-04-2022,PMKVY 2.0,CSSM,STT,Andhra Pradesh,Krishna,2583,2506,2193,1870,963
21-04-2022,PMKVY 2.0,CSCM,STT,Andhra Pradesh,Krishna,6115,5440,5020,4374,2575
21-04-2022,PMKVY 2.0,CSCM,STT,Andhra Pradesh,Kurnool,8922,8141,7868,7315,3216
21-04-2022,PMKVY 2.0,CSSM,STT,Andhra Pradesh,Kurnool,4651,4275,3964,3430,1874
21-04-2022,PMKVY 2.0,CSSM,STT,Andhra Pradesh,Prakasam,2962,2630,2401,1959,1269
21-04-2022,PMKVY 2.0,CSCM,STT,Andhra Pradesh,Prakasam,16329,15244,14338,12932,9168
21-04-2022,PMKVY 2.0,CSSM,STT,Andhra Pradesh,Spsr Nellore,2238,1933,1795,1687,1399
21-04-2022,PMKVY 2.0,CSCM,STT,Andhra Pradesh,Spsr Nellore,8573,6657,6509,5952,3756
21-04-2022,PMKVY 2.0,CSCM,STT,Andhra Pradesh,Srikakulam,5433,4880,4768,4343,3400
21-04-2022,PMKVY 2.0,CSSM,STT,Andhra Pradesh,Srikakulam,2242,2134,1989,1778,1204
21-04-2022,PMKVY 2.0,CSCM,STT,Andhra Pradesh,Visakhapatanam,16303,15829,15535,14556,10461
21-04-2022,PMKVY 2.0,CSSM,STT,Andhra Pradesh,Visakhapatanam,7349,6953,6429,5759,3212
21-04-2022,PMKVY 2.0,CSSM,STT,Andhra Pradesh,Vizianagaram,3911,3802,3680,3218,1935
21-04-2022,PMKVY 2.0,CSCM,STT,Andhra Pradesh,Vizianagaram,5799,5369,5289,4962,3667
21-04-2022,PMKVY 2.0,CSCM,STT,Andhra Pradesh,West Godavari,3882,3516,3312,2955,2406
21-04-2022,PMKVY 2.0,CSSM,STT,Andhra Pradesh,West Godavari,1860,1455,1260,944,591
21-04-2022,PMKVY 2.0,CSSM,STT,Andhra Pradesh,Y.S.R,885,735,601,475,165
21-04-2022,PMKVY 2.0,CSCM,STT,Andhra Pradesh,Y.S.R,5354,5086,4682,4266,2287
21-04-2022,PMKVY 3.0,CSSM,RPL,Andhra Pradesh,Anantapur,180,180,141,124,0
